Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Date,year,Month,Branch_Name,Dealer_NM,Product_Name
BR0331,DLR0034,Cad-M34,9805538,2,DT00046,03-02-2017,2017,2,Chevrolet India Motors,Chevrolet India Motors,Cadillac
BR0341,DLR0035,Cad-M35,13362888,3,DT00047,04-02-2017,2017,2,Chrysler Motors,Chrysler Motors,Cadillac
BR0351,DLR0036,Cad-M36,8198552,1,DT00048,05-02-2017,2017,2,Chrysler Europe Motors,Chrysler Europe Motors,Cadillac
BR0361,DLR0037,Cad-M37,16954836,2,DT00049,06-02-2017,2017,2,Citroën Motors,Citroën Motors,Cadillac
BR0371,DLR0038,Cad-M38,13123946,2,DT00050,07-02-2017,2017,2,Cizeta-Moroder Motors,Cizeta-Moroder Motors,Cadillac
BR0381,DLR0039,Cad-M39,7896011,1,DT00051,08-02-2017,2017,2,Dacia Motors,Dacia Motors,Cadillac
BR0391,DLR0040,Che-M40,12806852,2,DT00053,09-02-2017,2017,2,"Daewoo, Saehan, Chevrolet Korea Motors","Daewoo, Saehan, Chevrolet Korea Motors",Chevrolet
BR0401,DLR0041,Che-M41,540801,1,DT00054,10-02-2017,2017,2,DAF Motors,DAF Motors,Chevrolet
BR0411,DLR0042,Che-M42,27851115,3,DT00056,11-02-2017,2017,2,Daihatsu Motors,Daihatsu Motors,Chevrolet
BR0421,DLR0043,Che-M43,25853679,3,DT00057,12-02-2017,2017,2,Daimler Motors,Daimler Motors,Chevrolet
BR0431,DLR0045,Che-M44,27157551,3,DT00059,13-02-2017,2017,2,Datsun Motors,Delahaye Motors,Chevrolet
BR0441,DLR0046,Che-M45,7166549,1,DT00060,14-02-2017,2017,2,Delahaye Motors,DeLorean Motors,Chevrolet
BR0451,DLR0047,Che-M46,827032,2,DT00061,15-02-2017,2017,2,DeLorean Motors,DeSoto Motors,Chevrolet
BR0461,DLR0048,Che-M47,887358,2,DT00062,16-02-2017,2017,2,DeSoto Motors,De Tomaso Motors,Chevrolet
BR0471,DLR0049,Che-M48,2376282,3,DT00063,17-02-2017,2017,2,De Tomaso Motors,Dodge Motors,Chevrolet
BR0481,DLR0050,Che-M49,6012624,2,DT00064,18-02-2017,2017,2,Dodge Motors,Donkervoort Motors,Chevrolet
BR0491,DLR0051,Che-M50,5149104,1,DT00065,19-02-2017,2017,2,Donkervoort Motors,Edsel Motors,Chevrolet
BR0501,DLR0052,Che-M51,20033082,3,DT00066,20-02-2017,2017,2,Edsel Motors,e.GO Mobile Motors,Chevrolet
BR0511,DLR0053,GMC-M52,11657025,3,DT00067,21-02-2017,2017,2,e.GO Mobile Motors,Eicher Polaris Motors,GMC
BR0521,DLR0054,GMC-M53,29778390,3,DT00069,22-02-2017,2017,2,Eicher Polaris Motors,Elva Motors,GMC
BR0531,DLR0055,GMC-M54,27882654,3,DT00070,23-02-2017,2017,2,Elva Motors,Facel Vega Motors,GMC
BR0541,DLR0056,GMC-M55,19496403,3,DT00071,24-02-2017,2017,2,Facel Vega Motors,Ferrari Motors,GMC
BR0551,DLR0057,GMC-M56,3099601,1,DT00072,25-02-2017,2017,2,Ferrari Motors,Fiat Motors,GMC
BR0561,DLR0058,GMC-M57,10618472,2,DT00073,26-02-2017,2017,2,Fiat Motors,Fiat do Brasil Motors,GMC
BR0571,DLR0059,GMC-M58,9618594,1,DT00074,27-02-2017,2017,2,Fiat do Brasil Motors,Fiat India Motors,GMC
BR0581,DLR0060,Acu-M59,28655037,3,DT00075,28-02-2017,2017,2,Fiat India Motors,"Fisker, Karma Motors",Acura
BR0591,DLR0061,Acu-M60,5033528,1,DT00076,01-03-2017,2017,3,"Fisker, Karma Motors",Ford America Motors,Acura
BR0601,DLR0062,Acu-M61,9175180,1,DT00078,02-03-2017,2017,3,Ford America Motors,Ford Australia Motors,Acura
BR0611,DLR0063,Acu-M62,2505504,1,DT00079,03-03-2017,2017,3,Ford Australia Motors,Ford do Brasil Motors,Acura
BR0621,DLR0064,Acu-M63,1831088,2,DT00080,04-03-2017,2017,3,Ford do Brasil Motors,Ford Europe Motors,Acura
BR0631,DLR0065,Hon-M64,7650808,2,DT00081,05-03-2017,2017,3,Ford Europe Motors,Ford India Motors,Honda
BR0641,DLR0066,Hon-M65,6545996,1,DT00082,06-03-2017,2017,3,Ford India Motors,Freightliner Motors,Honda
BR0651,DLR0067,Hon-M66,7548524,1,DT00085,07-03-2017,2017,3,Freightliner Motors,FSO Motors,Honda
BR0661,DLR0068,Hon-M67,24649203,3,DT00086,08-03-2017,2017,3,FSO Motors,GAZ Motors,Honda
BR0671,DLR0069,Hon-M68,17799570,3,DT00087,09-03-2017,2017,3,GAZ Motors,Geo Motors,Honda
BR0681,DLR0070,Hon-M69,6450024,2,DT00088,10-03-2017,2017,3,Geo Motors,Gilbern Motors,Honda
BR0691,DLR0071,Hon-M70,3425558,1,DT00089,11-03-2017,2017,3,Gilbern Motors,Ginetta Motors,Honda
BR0701,DLR0072,Hon-M71,7979531,1,DT00090,12-03-2017,2017,3,Ginetta Motors,Glas Motors,Honda
BR0711,DLR0073,Hyu-M72,4713975,1,DT00091,13-03-2017,2017,3,Glas Motors,GMC Motors,Hyundai
BR0721,DLR0074,Hyu-M73,5758576,1,DT00092,14-03-2017,2017,3,GMC Motors,GTA Spano Motors,Hyundai
BR0731,DLR0075,Hyu-M74,5584847,1,DT00093,15-03-2017,2017,3,GTA Spano Motors,Gumpert Motors,Hyundai
BR0741,DLR0076,Hyu-M75,12409908,2,DT00094,16-03-2017,2017,3,Gumpert Motors,Healey Motors,Hyundai
BR0751,DLR0077,Kia-M76,14535884,2,DT00095,17-03-2017,2017,3,Healey Motors,Heinkel Motors,Kia
BR0761,DLR0078,Kia-M77,25965132,3,DT00097,18-03-2017,2017,3,Heinkel Motors,Hennessey Motors,Kia
BR0771,DLR0079,Kia-M78,19511448,3,DT00098,19-03-2017,2017,3,Hennessey Motors,Hillman Motors,Kia
BR0781,DLR0080,Inf-M79,29188608,3,DT00099,20-03-2017,2017,3,Hillman Motors,Hindustan Motors,Infiniti
